"Name"
"Analytics"
"Apps"
"Certificates"
"DB Backup"
"DB Restore"
"DHIS2 Service Down"
"ElasticSearch"
"New Configuration"
"Other"
"Other"
"Performance"
"Performance"
"PowerBI"
"Scripts"
"Security"
"Server Down"
"SQL Query"
"Upgrade"
"Users & Access"
