"Name","Organization->Name","Status","Business criticality","Location->Name","Brand->Name","Model->Name","Serial number","OS family","OS family->Name","OS family->Full name","Brand","Brand->Full name","Location","Location->Full name","Location->Obsolete","Location->Owner organization","Location->Name of the owner organization","Rack units","Organization","Organization->Full name","Organization->Obsolete","Organization->Code","Model","Model->Full name","Model->Brand","Model->Brand name","Model->Device type","CPU","RAM","Move to production date","OS version","OS version->Name","OS version->Full name","OS version->OS family","OS version->OS family name","Purchase date","Asset number","CI sub-class","Description","End of warranty","Management IP","Obsolescence date","Obsolete","Redundancy","id (Primary Key)","Enclosure","Enclosure->Name","Enclosure->Full name","Enclosure->Obsolete","Enclosure->Organization","Enclosure->Organization name","OS license","OS license->Name","OS license->Full name","OS license->Obsolete","OS license->Organization","OS license->Organization name","PowerA source","PowerA source->Name","PowerA source->Full name","PowerA source->CI sub-class","PowerA source->Obsolete","PowerA source->Organization","PowerA source->Organization name","PowerB source","PowerB source->Name","PowerB source->Full name","PowerB source->CI sub-class","PowerB source->Obsolete","PowerB source->Organization","PowerB source->Organization name","Rack","Rack->Name","Rack->Full name","Rack->Obsolete","Rack->Organization","Rack->Organization name","Rack->Location","Rack->Location name"
"asia.psi-mis.org","Population Services International","production","medium","AWS SolidLines","AWS","m5.large","",4,"Linux","Linux",1,"AWS",3,"AWS SolidLines",No,1,"SolidLines Tech Services",,3,"Population Services International",No,"PSICode01",3,"m5.large",1,"AWS","Server","2","8","2019-09-12",6,"Ubuntu 18.04.6","Ubuntu 18.04.6",4,"Linux",,"","Server","asia.psi-mis.org",,"3.1.189.132",,No,"1",1,0,"","",No,,"",0,"","",No,,"",0,"","","",No,,"",0,"","","",No,,"",3,"Asia Pacific (Singapore)","Asia Pacific (Singapore)",No,1,"SolidLines Tech Services",3,"AWS SolidLines"
"myanmar.psi-mis.org","Population Services International","production","medium","AWS SolidLines","AWS","m5.large","",4,"Linux","Linux",1,"AWS",3,"AWS SolidLines",No,1,"SolidLines Tech Services",,3,"Population Services International",No,"PSICode01",3,"m5.large",1,"AWS","Server","2","8","2019-09-12",6,"Ubuntu 18.04.6","Ubuntu 18.04.6",4,"Linux",,"","Server","myanmar.psi-mis.org",,"13.251.133.193",,No,"1",2,0,"","",No,,"",0,"","",No,,"",0,"","","",No,,"",0,"","","",No,,"",3,"Asia Pacific (Singapore)","Asia Pacific (Singapore)",No,1,"SolidLines Tech Services",3,"AWS SolidLines"
